time_stamp,open,close,adjust,usage,comment
Nov-06,6252.1000,6543.3000,0.0000,291.2000,
Dec-06,6543.3000,6895.5000,0.0000,352.2000,
Jan-07,6895.5000,7231.7000,0.0000,336.2000,
Feb-07,7231.7000,7517.1000,0.0000,285.4000,Added insulation on cellar pipes
Mar-07,7517.1000,7846.6000,0.0000,329.5000,
Apr-07,7846.6000,8119.8500,0.0000,273.2500,
May-07,8119.8500,8339.4000,0.0000,219.5500,
Jun-07,8339.4000,8523.3482,0.0000,183.9482,Two weeks in Spain.
Jul-07,8523.3482,8653.7000,0.0000,130.3519,
Aug-07,8653.7000,8903.9500,0.0000,250.2500,
Sep-07,8903.9500,9174.7400,0.0000,270.7900,
Oct-07,9174.7400,9465.4000,0.0000,290.6600,
Nov-07,9465.4000,9767.2500,0.0000,301.8500,
Dec-07,9767.2500,10104.3000,0.0000,337.0500,
Jan-08,10104.3000,10448.0500,0.0000,343.7500,Reset the timer on the header
Feb-08,10448.0500,10793.2500,0.0000,345.2000,18.03 New house door installed
Mar-08,10793.2500,11095.7000,0.0000,302.4500,
Apr-08,11095.7000,11435.6000,0.0000,339.9000,
May-08,11435.6000,11668.1000,0.0000,232.5000,Heater was turned off.
Jun-08,11668.1000,11831.5000,0.0000,163.4000,Hot water and pump timer was changed to 5.30-10.30am  only.
Jul-08,11831.5000,12081.1000,0.0000,249.6000,
Aug-08,12081.1000,12336.5000,0.0000,255.4000,
Sep-08,12336.5000,12607.0500,0.0000,270.5500,Added Honeywell thermostats to Lounge and bathroom.
Oct-08,12607.0500,12822.3526,0.0000,215.3026,Australia for 13 days
Nov-08,12822.3526,13087.5000,0.0000,265.1474,Australia for 6 days | Visitors
Dec-08,13087.5000,13486.1500,0.0000,398.6500,Visitors over christmas - Party mode was used
Jan-09,13486.1500,13789.2000,0.0000,303.0500,Steve one week in USA
Feb-09,13789.2000,14064.3000,0.0000,275.1000,Steve one week in USA; Visitor two weeks.
Mar-09,14064.3000,14359.5000,0.0000,295.2000,One week skiing
Apr-09,14359.5000,14613.1000,0.0000,253.6000,Heating off since 1st. Party Mode used twice plus two evenings with heater
May-09,14613.1000,14820.5500,0.0000,207.4500,Away first week and again one weekend. Jane and Eileen visit.
Jun-09,14820.5500,15059.4000,0.0000,238.8500,
Jul-09,15059.4000,15259.5000,0.0000,200.1000,
Aug-09,15259.5000,15475.4500,0.0000,215.9500,Set spare monitor on a switch.
Sep-09,15475.4500,15733.7500,0.0000,258.3000,
Oct-09,15733.7500,15988.5000,0.0000,254.7500,
Nov-09,15988.5000,16298.4000,0.0000,309.9000,
Dec-09,16298.4000,16671.9000,0.0000,373.5000,House Guest
Jan-10,16671.9000,17039.7000,0.0000,367.8000,
Feb-10,17039.7000,17392.9000,0.0000,353.2000,
Mar-10,17392.9000,17728.5000,0.0000,335.6000,One day late in reading
Apr-10,17728.5000,18048.1000,0.0000,319.6000,House Guest
May-10,18048.1000,18294.2000,0.0000,246.1000,Heater was turned off.
Jun-10,18294.2000,18452.2000,0.0000,158.0000,Filled heater pressure to 0.9 Bar
Jul-10,18452.2000,18637.0000,0.0000,184.8000,ESTW changed water meter. Old=486 New=0.1075. Reading 0.85105
Aug-10,18637.0000,18880.7000,0.0000,243.7000,
Sep-10,18880.7000,19153.8000,0.0000,273.1000,Heating turned on
Oct-10,19153.8000,19457.2000,0.0000,303.4000,Electric heater purchased. 8d2h-9.287kWh-9.287OnTime
Nov-10,19457.2000,19776.4000,0.0000,319.2000,Office Heater 18.15kWh@18:08/28d19h.
Dec-10,19776.4000,19913.2000,0.0000,136.8000,Holiday in Australia from 07.12.10 to 05.01.11
Jan-11,19913.2000,20229.0000,0.0000,315.8000,Office Heater 12.8kWh@11:04/7d18h
Feb-11,20229.0000,20586.9000,0.0000,357.9000,Office Heater 38.88kWh@1d7h/27d23h
Mar-11,20586.9000,20890.1000,0.0000,303.2000,Office Heater 4.711Wh@3:37h/30d22h
Apr-11,20890.1000,21135.8000,0.0000,245.7000,away first week and again one weekend. Jane and Eileen visit.
May-11,21135.8000,21385.8000,0.0000,250.0000,
Jun-11,21385.8000,21626.0000,0.0000,240.2000,
Jul-11,21626.0000,21899.1000,0.0000,273.1000,Running the de-humidifier for most of the month. - Water in Cellar
Aug-11,21899.1000,22176.7000,0.0000,277.6000,John and family visited. Making Jam
Sep-11,22176.7000,22344.9000,0.0000,168.2000,Two weeks in Burgundy
Oct-11,22344.9000,22637.2000,0.0000,292.3000,Heating turned on; Circulation pump added to Hot Water.
Nov-11,22637.2000,22979.7000,0.0000,342.5000,Lighting system 1.066 - 29:22d:h
Dec-11,22979.7000,23403.4000,0.0000,423.7000,Visitors over christmas - Party mode was used
Jan-12,23403.4000,23750.2500,0.0000,346.8500,
Feb-12,23750.2500,24091.4500,0.0000,341.2000,Lighting system 1.060 -28:22d:h
Mar-12,24091.4500,24386.1000,0.0000,294.6500,New regulator for the heater
Apr-12,24386.1000,24646.2000,0.0000,260.1000,
May-12,24646.2000,24748.8000,0.0000,102.6000,Return from 4 weeks in Aus
Jun-12,24748.8000,24975.7000,0.0000,226.9000,
Jul-12,24975.7000,25225.8000,0.0000,250.1000,
Aug-12,25225.8000,25499.9000,0.0000,274.1000,Jo&Francesco Visited.
Sep-12,25499.9000,25694.8500,0.0000,194.9500,Heating activated 01.10
Oct-12,25694.8500,25976.0000,0.0000,281.1500,Taken 31.10.12@18:30 before going to Lisbon for 3 days.
Nov-12,25976.0000,26235.4500,0.0000,259.4500,
Dec-12,26235.4500,26563.0000,0.0000,327.5500,
Jan-13,26563.0000,26893.2000,0.0000,330.2000,
Feb-13,26893.2000,27146.2000,0.0000,253.0000,
Mar-13,27146.2000,27409.3000,0.0000,263.1000,
Apr-13,27409.3000,27603.2000,0.0000,193.9000,"Lighting system 0.539kWh R33d09h A09d17h GAS counter was changed. Vacation in Spain, two weeks"
May-13,27603.2000,27860.8000,0.0000,257.6000,No reading for lighting system. Still very cold. Heating was put back on!
Jun-13,27860.8000,28079.7000,0.0000,218.9000,
Jul-13,28079.7000,28236.4000,0.0000,156.7000,
Aug-13,28236.4000,28535.7000,0.0000,299.3000,
Sep-13,28535.7000,28694.6000,0.0000,158.9000,Kelly visited for the month.
Oct-13,28694.6000,29009.4000,0.0000,314.8000,
Nov-13,29009.4000,29314.4000,0.0000,305.0000,Forgot to take the lighting record time before clearing. Very cold month.
Dec-13,29314.4000,29650.4000,0.0000,336.0000,Installed new thermostats and the wood fire
Jan-14,29650.4000,29989.8500,0.0000,339.4500,
Feb-14,29989.8500,30268.1000,0.0000,278.2500,
Mar-14,30268.1000,30537.2000,0.0000,269.1000,
Apr-14,30537.2000,30746.2000,0.0000,209.0000,Started to turn the gas off during this month.
May-14,30746.2000,31016.1000,0.0000,269.9000,Had to use the electric heater this month
Jun-14,31016.1000,31229.7500,0.0000,213.6500,Pfingston weekend away camping.
Jul-14,31229.7500,31469.7000,0.0000,239.9500,"Visitors: Graeme, then Bart and Melane"
Aug-14,31469.7000,31708.0000,0.0000,238.3000,Made grape gelé - Water and Electricity (2 x party mode)
Sep-14,31708.0000,31954.4000,0.0000,246.4000,Started using the wood heater more.
Oct-14,31954.4000,32247.7000,0.0000,293.3000,Started the heating system in the later part of this month.
Nov-14,32247.7000,32544.7000,0.0000,297.0000,
Dec-14,32544.7000,32669.6000,0.0000,124.9000,Vacation in Australia (Recorded 03.01.15)
Jan-15,32669.6000,33025.0000,0.0000,355.4000,
Feb-15,33025.0000,33299.0000,0.0000,274.0000,
Mar-15,33299.0000,33594.1000,0.0000,295.1000,
Apr-15,33594.1000,33852.7000,0.0000,258.6000,
May-15,33852.7000,34091.0000,0.0000,238.3000,Turned the heating off. 
Jun-15,34091.0000,34337.6000,0.0000,246.6000,Changed the hot water times to also come on in the evening
Jul-15,34337.6000,34587.4000,0.0000,249.8000,
Aug-15,34587.4000,34839.7000,0.0000,252.3000,
Sep-15,34839.7000,35107.8000,0.0000,268.1000,
Oct-15,35107.8000,35389.1000,0.0000,281.3000,
Nov-15,35389.1000,35743.7000,0.0000,354.6000,
Dec-15,35743.7000,36094.8000,0.0000,351.1000,
Jan-16,36094.8000,36446.3000,0.0000,351.5000,Usage of electric heater in the cellar
Feb-16,36446.3000,36761.6000,0.0000,315.3000,Vacation to Mallorca. Cellar packed up for refurbishment
Mar-16,36761.6000,37082.9000,0.0000,321.3000,Vacation to USA
Apr-16,37082.9000,37304.5000,0.0000,221.6000,Vacation to USA plus cellar renovation
May-16,37304.5000,37622.3000,0.0000,317.8000,
Jun-16,37622.3000,37900.7000,0.0000,278.4000,
Jul-16,37900.7000,38177.9000,0.0000,277.2000,
Aug-16,38177.9000,38478.1000,0.0000,300.2000,Visitors - the last weekend
Sep-16,38478.1000,38681.6000,0.0000,203.5000,Switched on the heater 30.09.16
Oct-16,38681.6000,39016.4000,0.0000,334.8000,
Nov-16,39016.4000,39372.4000,0.0000,356.0000,The water meter was changed Reading: 479m3
Dec-16,39372.4000,39785.5000,0.0000,413.1000,
Jan-17,39785.5000,40133.8000,0.0000,348.3000,Set the workshop heater to 17 degrees
Feb-17,40133.8000,40467.0000,0.0000,333.2000,The heating started to fail 27.02.17
Mar-17,40467.0000,40812.3000,0.0000,345.3000,Recorded a day early - Headed to Australia for two weeks.
Apr-17,40812.3000,41044.2000,0.0000,231.9000,
May-17,41044.2000,41369.7500,0.0000,325.5500,Turned the heating off. 
Jun-17,41369.7500,41617.8000,0.0000,248.0500,